expression	pos	subcat	subcat2	subcat3	attitude	transitivity	gender	animate	classifier	number	tran_verb	verb	adjective	refl	aspect	prep	nchar
有点	AD	degree	no_compare														2
都	AD																1
最	AD	degree	compare														1
更	AD	degree	compare														1
只	AD																1
会	AD	model															1
能	AD	model															1
即将	AD	tense															2
马上	AD	tense															2
还是	AD	tense													了		2
已经	AD	tense													了		2
正在	AD	tense															2
曾经	AD	tense													过		2
仍然	AD	tense															2
经常	AD	tense															2
总是	AD	tense															2
常常	AD	tense															2
差点儿	AD	chadian															3
险些	AD	chadian															2
几乎	AD	chadian															2
大声	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
小声	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
轻声	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
缓缓	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
静静	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
慢慢	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
专心	AD	state_de						1				走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
悄悄	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
努力	AD	state_de						1				走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
故意	AD	state_de						1									2
无心	AD	state_de						1									2
急速	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					2
偷偷	AD	state_de										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
孤身一人	AD	state_guo										走/跨越/去/登/爬					4
赤手空拳	AD	state_guo										杀/打/捕捉/屠宰					4
不畏艰险	AD	state_guo										走/跨越/去/登/爬					4
赤脚	AD	state_guo										走/跨越/去/登/爬					2
空着手	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
红着脸	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
憋着气	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
光着膀子	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
低着头	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
举着手	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
闭着眼睛	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
鼓起勇气	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
仰着头	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
甩着胳膊	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
嘟着嘴	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
咬牙切齿	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
咬着牙	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
咧着嘴	AD	state										走/跨越/去/登/爬/唱/演奏/拉/弹/吃/喝/观看/拍摄/制作/吃/煮/炖/烧/清蒸/爆炒/捕捉/杀/洗/脱/检查/包扎/看/写/创作/读/弹/听/麻醉/搬/领养/买/卖/开/驾驶					
																	
恐怕会	AD	possibility															
难免会	AD	possibility															
容易	AD	possibility															
很可能会	AD	possibility															
悄悄地	AD	de/transfer															
轻轻地	AD	de/transfer															
小心地	AD	de/transfer															
放心地	AD	de/transfer															
大摇大摆地	AD	de/transfer															
很快地	AD	de/transfer															
大声地	AD	de/transfer															
小声地	AD	de/transfer															
轻声地	AD	de/transfer															
缓缓地	AD	de/transfer															
静静地	AD	de/transfer															
慢慢地	AD	de/transfer															
专心地	AD	de/transfer															
奋力地	AD	de/transfer															
努力地	AD	de/transfer															
不遗余力地	AD	de/transfer															
轻飘飘地	AD	de/transfer															
静悄悄地	AD	de/transfer															
慢吞吞地	AD	de/transfer															
莫名其妙地	AD	de															
糊里糊涂地	AD	de															
迷迷糊糊地	AD	de															
不明所以地	AD	de															
开开心心	AD	nude															
高高兴兴	AD	nude															
喜笑颜开	AD	nude															
喜上眉梢	AD	nude															
乐开了花	AD	nude															
饱	AD	enough	eat														
够	AD	enough	eat/see/hear														
																	
																	
																	
从不	AD																2
受到	LB				pos/neg												2
遭到	LB				neg												2
被	LB				pos/neg												1
椅子	NN	obj		movable				0	把		搬		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
桌子	NN	obj		movable				0	张		搬		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
小狗	NN	animal		movable				1	条		领养						2
小猫	NN	animal		movable				1	只		领养						2
老虎	NN	animal		movable				1	只		麻醉/捕捉/打/杀						2
蛇	NN	animal		movable				1	条		捕捉/杀						1
牛	NN	animal		movable				1	头		屠宰/杀						1
大象	NN	animal		movable				1	头		麻醉/捕捉/杀						2
鸡	NN	animal		movable				1	只		吃/煮/炖/烧/清蒸/爆炒/捕捉/杀						1
鸭	NN	animal		movable				1	只		吃/煮/炖/烧/清蒸/爆炒/捕捉/杀						1
鱼	NN	animal		movable				1	条		吃/煮/炖/烧/清蒸/爆炒/捕捉/杀						1
头	NN	body		immovable				/	个		包扎/检查/洗						1
手	NN	body		immovable				/	只		包扎/检查/打断/洗						1
脚	NN	body		immovable				/	只		包扎/检查/打断/洗						1
胃	NN	body		immovable				/			检查						1
心脏	NN	body		immovable				/	颗		检查						2
眼睛	NN	body		immovable				/	个		检查						2
鼻子	NN	body		immovable				/	只		检查/包扎/打断						2
耳朵	NN	body		immovable				/	个		检查/包扎						2
肚子	NN	body		immovable				/			检查/包扎						2
腿	NN	body		immovable				/	条		检查/包扎/打断						1
																	
衣服	NN	obj		movable				0	件		洗/脱		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
裤子	NN	obj		movable				0	条		洗/脱		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
裙子	NN	obj		movable				0	条		洗/脱		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
袜子	NN	obj		movable				0	双/只		洗/脱		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
手套	NN	obj		movable				0	双/只		洗/脱		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
杯子	NN	obj		movable				0	个		打碎/清洗		昂贵/便宜/有质感/优雅/精致/特殊/普通/大/小				2
																	
																	
兄弟	NN	person	relative	movable			male	1		plural							2
姐妹	NN	person	relative	movable			female	1		plural							2
弟弟	NN	person	relative	movable			male	1	个	singular							2
妹妹	NN	person	relative	movable			female	1	个	singular							2
哥哥	NN	person	relative	movable			male	1	个	singular							2
姐姐	NN	person	relative	movable			female	1	个	singular							2
爸爸	NN	person	relative	movable			male	1		singular							2
妈妈	NN	person	relative	movable			female	1		singular							2
儿子	NN	person	relative	movable			male	1	个	singular							2
女儿	NN	person	relative	movable			female	1	个	singular							2
父亲	NN	person	relative	movable			male	1	位	singular							2
母亲	NN	person	relative	movable			female	1	位	singular							2
老师	NN	person	relative	movable			neutral	1	位	singular							2
学生	NN	person	relative	movable			neutral	1	位	singular							2
同事	NN	person	relative	movable			neutral	1	位	singular							2
罪犯	NN	person		movable			neutral	1	个								2
奴隶	NN	person		movable			neutral	1	个								2
朋友	NN	person	relative	movable			neutral	1	个	singular							2
员工	NN	person	relative	movable			neutral	1	位	singular							2
警察	NN	person		movable			neutral	1	名								2
消防员	NN	person		movable			neutral	1	名								3
小孩	NN	person		movable			neutral	1	个								2
飞行员	NN	person		movable			neutral	1	名								3
空姐	NN	person		movable			neutral	1	位								2
记者	NN	person		movable				1	名/位/个								2
演奏员	NN	person		movable				1	名/位/个								3
钢琴家	NN	person		movable				1	名/位/个								3
音乐家	NN	person		movable			neutral	1	名/位/个								3
吉他手	NN	person		movable			neutral	1	名/位/个								3
领导	NN	person	relative	movable			neutral	1	位/个	singular							2
上级	NN	person	relative	movable			neutral	1	位/个	singular							2
下属	NN	person	relative	movable			neutral	1	位/个	singular							2
工人	NN	person		movable			neutral	1	名/位/个								2
打工人	NN	person		movable			neutral	1	名/位/个								3
老板	NN	person	relative	movable			neutral	1	位/个	singular							2
演员	NN	person		movable			neutral	1	名/位/个								2
舞者	NN	person		movable			neutral	1	位/个								2
服务员	NN	person		movable			neutral	1	位/个								3
顾客	NN	person		movable			neutral	1	位/个								2
消费者	NN	person		movable			neutral	1	位/个								3
司机	NN	person		movable			neutral	1	名/位/个								2
																	
歌曲	NN	music		immovable				0	首		演奏						2
协奏曲	NN	music		immovable				0	首		演奏						3
奏鸣曲	NN	music		immovable				0	首		演奏						3
华尔兹	NN	music		immovable				0	首		演奏						3
狂想曲	NN	music		immovable				0	首		演奏						3
歌	NN	music		immovable				0	首		唱						1
美声	NN	music		immovable				0			唱						2
京剧	NN	music		immovable				0			唱						2
戏曲	NN	music		immovable				0			唱						2
小调	NN	music		immovable				0			唱						2
小提琴	NN	music		movable				0			拉						
钢琴	NN	music		movable				0			弹						
大提琴	NN	music		movable				0			拉						
古筝	NN	music		movable				0			弹						
笛子	NN	music		movable				0			吹						
双簧	NN	music		movable				0			吹						
																	
电影	NN	video		immovable				0	部		观看/拍摄/制作		昂贵/便宜/有质感/精致/特殊/普通/大/小				2
电视剧	NN	video		immovable				0	部		观看/拍摄/制作						3
视频	NN	video		immovable				0	部		观看/拍摄/制作						2
动画片	NN	video		immovable				0	部		观看/拍摄/制作						3
记录片	NN	video		immovable				0	部		观看/拍摄/制作						3
动作片	NN	video		immovable				0	部		观看/拍摄/制作						3
																	
书	NN	book		movable				0	本		看/写	受潮	昂贵/便宜/有质感/精致/特殊/普通/大/小				1
小说	NN	book		movable				0	部/本		看/写/创作	受潮					2
漫画	NN	book		movable				0	部/本		看/创作	受潮					2
教材	NN	book		movable				0	部/本		看/写	受潮					2
日记	NN	book		movable				0	部/本		看/写	受潮					2
手账	NN	book		movable				0	部/本		看/写/制作	受潮					2
																	
俱乐部	NN	location		immovable				0								里	3
照相馆	NN	location		immovable				0								里	3
派出所	NN	location		immovable				0								里	3
消防站	NN	location		immovable				0								里	3
电影院	NN	location		immovable				0								里	3
沙漠	NN	location		immovable				0			跨越/去					里	2
长江	NR	location		immovable				0			跨越/去					上	2
黄河	NR	location		immovable				0			跨越/去					上	2
小桥	NN	location		immovable				0			走					上	2
海洋	NN	location		immovable				0			跨越/去					里	2
山洞	NN	location		immovable				0			登/爬					里	2
池塘	NN	location		immovable				0								里	2
火山	NN	location		immovable				0								上	2
火车站	NN	location		immovable				0								里	3
																	
玻璃珠	NN	obj		movable				0	个		弹	碎掉/熔化	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
录像带	NN	obj		movable				0	盘		看	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
收音机	NN	obj		movable				0	个		听	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
电冰箱	NN	obj		movable				0	台		买/卖	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
电视机	NN	obj		movable				0	台		买/卖	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
充电器	NN	obj		movable				0	个		买/卖	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
热水器	NN	obj		movable				0	台		买/卖	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
饮料瓶	NN	obj		movable				0	个		买/卖	碎掉	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
开瓶器	NN	obj		movable				0	个		买/卖	故障	昂贵/便宜/有质感/精致/特殊/普通/大/小				3
方便面	NN	food		movable				0	桶/袋/包		吃/买	过期/变质					3
苹果	NN	food		movable				0	个		吃/买	腐烂					2
橘子	NN	food		movable				0	个		吃/买	腐烂					2
香蕉	NN	food		movable				0	个/串		吃/买	腐烂					2
面包	NN	food		movable				0	片		吃/买	过期/变质					2
蛋糕	NN	food		movable				0	个/块		吃/买	过期/变质					2
巧克力	NN	food		movable				0	块		吃/买	过期/变质					3
糖	NN	food		movable				0	块		吃/买	过期/变质/熔化					1
糖果	NN	food		movable				0	块/颗		吃/买	过期/变质/熔化					2
坚果	NN	food		movable				0	颗		吃/买	变质					2
葡萄	NN	food		movable				0	粒		吃/买	腐烂					2
馒头	NN	food		movable				0	个		吃/买	变质					2
花卷	NN	food		movable				0	个		吃/买	变质					2
蛋炒饭	NN	food		movable				0	碗		吃/买	变质					3
白米饭	NN	food		movable				0	碗		吃/买	变质					3
鱼丸	NN	food		movable				0	个		吃/买	变质					2
																	
啤酒	NN	beverage		movable				0	瓶/桶		喝/买	过期/变质					2
白酒	NN	beverage		movable				0	瓶/杯		喝/买	过期/变质					2
冰红茶	NN	beverage		movable				0	瓶		喝/买	过期/变质					3
可乐	NN	beverage		movable				0	瓶		喝/买	过期/变质					2
矿泉水	NN	beverage		movable				0	瓶/桶		喝/买						3
橙汁	NN	beverage		movable				0	瓶/杯		喝/买	过期/变质					2
葡萄汁	NN	beverage		movable				0	杯		喝/买	过期/变质					3
红酒	NN	beverage		movable				0	杯/瓶		喝/买	过期/变质					2
咖啡	NN	beverage		movable				0	杯		喝/买	过期/变质					2
红茶	NN	beverage		movable				0	杯		喝/买	过期/变质					2
牛奶	NN	beverage		movable				0	杯		喝/买	过期/变质					2
																	
被子	NN	obj		movable				0	条		盖	受潮	昂贵/便宜/有质感/精致/特殊/普通/大/小				2
杯子	NN	obj		movable				0	个		打碎	碎掉	昂贵/便宜/有质感/精致/特殊/普通/大/小				2
教材	NN	obj		movable				0	本		读/写/预习	受潮	昂贵/便宜/有质感/精致/特殊/普通/大/小				2
作业	NN	obj		movable				0	份		写	受潮	昂贵/便宜/有质感/精致/特殊/普通/大/小				2
																	
上课	NN	activity		immovable													2
开会	NN	activity		immovable													2
派对	NN	activity		immovable					场		办						2
旅行	NN	activity		immovable													
会议	NN	activity		immovable													
运动会	NN	activity		immovable													
开营仪式	NN	activity		immovable													
结婚典礼	NN	activity		immovable													
观点	NN	idea		immovable					种/个		提出						2
见解	NN	idea		immovable					个		提出						2
想法	NN	idea	person	immovable					个		提出						2
理念	NN	idea		immovable					种/个		提出						2
态度	NN	idea	person	immovable					种/个		提出						2
行为	NN	action	person	immovable					种/个		做出						2
消息	NN			immovable					个		告诉						
																	
卡车	NN	vehicle		movable							开/驾驶	故障					
火车	NN	vehicle		movable							开/驾驶	故障					
货车	NN	vehicle		movable							开/驾驶	故障					
飞机	NN	vehicle		movable							开/驾驶	故障					
轮船	NN	vehicle		movable							开/驾驶	故障					
货箱	NN	container		movable													
																	
一辈子	NN	duration		immovable													
一上午	NN	duration		immovable													
一早上	NN	duration		immovable													
一中午	NN	duration		immovable													
一下午	NN	duration		immovable													
一整天	NN	duration		immovable													
一整年	NN	duration		immovable													
																	
事	NN	general		immovable								败露					
事情	NN	general		immovable								败露					
东西	NN	general		movable													
秘密	NN	message		immovable								败露					
丑闻	NN	message		immovable								败露					
消息	NN	message		immovable								败露					
新闻	NN	message		immovable													
信息	NN	message		immovable													
																	
																	
演奏	VV	song	action			tran		1			演奏	演奏					2
尊重	VV	person	stative	judge	pos	tran		1			尊重	尊重		1			2
批评	VV	person/organization	action	judge/once	neg	tran		1			批评	批评		1			2
爱戴	VV	person/organization	stative		pos	tran		1			爱戴	爱戴		0			2
追捧	VV	person	stative	once	pos	tran		1			追捧	追捧		0			2
拥护	VV	person/organization	stative		pos	tran		1			拥护	拥护		0			2
推崇	VV	person/organization	stative		pos	tran		1			推崇	推崇		0			2
喜欢	VV	person/organization	stative	judge	pos	tran		1			喜欢	喜欢		1			2
憎恨	VV	person/organization	stative	judge	neg	tran		1			憎恨	憎恨		1			2
厌恶	VV	person/organization	stative	judge	neg	tran		1			厌恶	厌恶		1			2
排挤	VV	person	stative		neg	tran		1			排挤	排挤		0			2
嫌弃	VV	person	stative	judge	neg	tran		1			嫌弃	嫌弃		1			2
反感	VV	person/organization	stative	judge	neg	tran		1			反感	反感		1			2
埋怨	VV	person/organization	stative	once	neg	tran		1			埋怨	埋怨		1			2
支持	VV	person/organization	stative	judge	pos	tran		1			支持	支持		1			2
宠爱	VV	person	stative		pos	tran		1			宠爱	宠爱		0			2
青睐	VV	person	stative		pos	tran		1			青睐	青睐		0			2
赞赏	VV	person	stative		pos	tran		1			赞赏	赞赏		1			2
欺负	VV	person	action	once	neg	tran		1			欺负	欺负		0			2
诽谤	VV	person	action		neg	tran		1			诽谤	诽谤		1			2
夸奖	VV	person	action	once	pos	tran		1			夸奖	夸奖		1			2
爱护	VV		action		pos	tran		1			爱护	爱护		0			2
鼓励	VV	person	action	once	pos	tran		1			鼓励	鼓励		1			2
照顾	VV	person	action		pos	tran		1			照顾	照顾		1			2
批评	VV	person	action	judge/once	neg	tran		1			批评	批评		1			2
伤害	VV	person	action		neg	tran		1			伤害	伤害		1			2
责备	VV	person	action		neg	tran		1			责备	责备		1			2
奖励	VV	person	action	once	pos	tran		1			奖励	奖励		1			2
安慰	VV	person	action	once	pos	tran		1			安慰	安慰		1			2
提醒	VV	person	action	once	neg	tran		1			提醒	提醒		1			2
欺骗	VV	person	action		neg	tran		1			欺骗	欺骗		1			2
原谅	VV	person	action		pos	tran		1			原谅	原谅		1			2
约束	VV	person	action		neg	tran		1			约束	约束		1			2
教育	VV	person	action	once	neg	tran		1			教育	教育		1			2
控制	VV	person	action	once	neg	tran		1			控制	控制		1			2
打劫	VV	person	action		neg	tran		1			打劫	打劫		0			2
呵斥	VV	person	action	once	neg	tran		1			呵斥	呵斥		0			2
表扬	VV	person	action	judge/once	pos	tran		1			表扬	表扬		1			2
称赞	VV	person	action	judge/once	pos	tran		1			称赞	称赞		1			2
嘉奖	VV	person/organization	action	once	pos	tran		1			嘉奖	嘉奖		1			2
写	VV	obj	action			ditran		1			写	写					1
预习	VV	obj	action			tran		1			预习	预习					2
拉	VV	song	action			tran		1			拉	拉					1
弹	VV	song	action			tran		1			弹	弹					1
吹	VV	song	action			tran		1			吹	吹					1
唱	VV	song	action			tran		1			唱	唱					1
观看	VV	video/book	action			tran		1			观看	观看					2
拍摄	VV	video	action			tran		1			拍摄	拍摄					2
制作	VV		action			tran		1			制作	制作					2
创作	VV		action			tran		1			创作	创作					2
买	VV	trade	action			ditran		1			买	买					1
卖	VV	trade	action			ditran		1			卖	卖					1
开	VV		action			tran		1			开	开					1
驾驶	VV		action			tran		1			驾驶	驾驶					2
																	
																	
																	
讲	VV	cp						1				讲					1
说	VV	cp						1				说					1
认为	VV	cp						1				认为					2
觉得	VV	cp						1				觉得					2
想	VV	control			pos			1				想					1
想要	VV	control			pos			1				想要					2
希望	VV	control			pos			1				希望					2
期待	VV	control			pos			1				期待					2
愿意	VV	control			pos			1				愿意					2
不想	VV	control			neg			1				想					1
不想要	VV	control			neg			1				想要					3
不希望	VV	control			neg			1				希望					3
不期待	VV	control			neg			1				期待					3
不愿意	VV	control			neg			1				愿意					3
相信	VV	person/organization				tran		1			相信	相信		1			2
建立	VV	organization				tran		1			建立	建立					2
取代	VV	person				tran		1			取代	取代					
																	
取缔	VV	organization				tran		1			取缔	取缔					2
重建	VV	organization				tran		1			重建	重建					2
前往	VV	location				tran		1			前往	前往					2
离开	VV	location				alter		1			离开	离开					2
回到	VV	location				tran		1			回到	回到					2
找到	VV	location				tran		1			找到	找到					2
跨越	VV					tran		1			跨越	跨越					
完成	VV					tran		1			完成	完成					
学	VV					tran		1			学	学					
救	VV					tran		1			救	救					
登上	VV					tran		1			登上	登上					
偷听	VV					tran/intran		1			偷听	偷听					
爬行	VV					intran		1			爬行	爬行					
打断	VV	body				tran		1			打断	打断					2
划伤	VV	body				alter		0			划伤	划伤					2
包扎	VV	body				tran		1			包扎	包扎					2
治疗	VV	body				tran		1			治疗	治疗					2
检查	VV	body				tran		1			检查	检查					2
																	
